Title;Year;Rated;Released;Runtime;Genre;Director;Writer;Actors;Plot;Language;Country;Poster;Internet Movie Database;Rotten Tomatoes;Metascore;imdbRating;imdbVotes;imdbID;Type;DVD;BoxOffice;Production;Website;Response;Win;Metacritic;Nomination;Oscar
Rakuyôju;1986;N/A;15 Nov 1986;105 min;Drama;Kaneto Shindô;Kaneto Shindô;Keiju Kobayashi, Nobuko Otowa, Ichirô Zaitsu;Haru, an aging scriptwriter, has isolated himself somewhere in the woods of Nagano to work on his first novel. As the last surviving member of his kin, he intends to chronicle the family he grew up in.;Japanese;Japan;https://m.media-amazon.com/images/M/MV5BMmU3YTljNDUtM2YwMS00MWJmLWIxOTEtNjUzYzI2NmY1MmE4XkEyXkFqcGdeQXVyNDA5Mjg5MjA@._V1_SX300.jpg;7.08.2010;;N/A;78;1,021;tt0091823;movie;N/A;N/A;N/A;N/A;DOÐRU;;;;
That's Life!;1986;PG-13;10 Oct 1986;102 min;Comedy, Drama;Blake Edwards;Milton Wexler, Blake Edwards;Jack Lemmon, Julie Andrews, Sally Kellerman;Harvey (Jack Lemmon) and Gillian Fairchild (Dame Julie Andrews) face a difficult weekend. Harvey, celebrating his 60th birthday, is stressed and depressed. Gillian is awaiting the results of a throat biopsy. Their lives are further complicated by their three grown children, a ditsy neighbor, a fortune teller, and an alcoholic Priest.;English;United States;https://m.media-amazon.com/images/M/MV5BNzg5YmI2ZDctMjBmZS00YjIxLThhZDItYWZjOTQxZDgwZjY4XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg;6.0/10;0,53;N/A;60;1,517;tt0092079;movie;27 Sep 2018;$4,079,895;N/A;N/A;DOÐRU;;;5;1
*batteries not included;1987;PG;18 Dec 1987;106 min;Comedy, Family, Fantasy;Matthew Robbins;Mick Garris, Brad Bird, Matthew Robbins;Hume Cronyn, Jessica Tandy, Frank McRae;A group of tenants in an apartment block are being forced to move out so that it can be demolished. The tenants are reluctant to move, so the developers hire a local gang to 'persuade' them to leave. Fortunately, visiting alien mechanical life-forms come to town. When they befriend the tenants, the aliens use their extraterrestrial abilities to defeat the developers.;English, Spanish;United States;https://m.media-amazon.com/images/M/MV5BM2JlMDgxOTYtNmI2My00YzY1LWIyZTgtYzY0MjY3Y2RiZmY2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg;6.07.2010;0,6;54;67;34,605;tt0092494;movie;23.May.06;$32,945,797;N/A;N/A;DOÐRU;2;54/100;1;
Bicycleran;1989;N/A;09 Sep 1998;82 min;Drama;Mohsen Makhmalbaf;Mohsen Makhmalbaf;Mahshid Afsharzadeh, Firouz Kiani, Samira Makhmalbaf;"The wife of Nasim, an Afghan immigrant in Iran, is gravely ill. He needs money to pay for her care, but his day labor digging wells does not pay enough. A friend connects Nasim to a two-bit promoter who sells tickets to watch Nasim ride a bicycle continuously for a week. The promoter brings in sick and aged spectators, haranguing them to find hope in Nasim's strength. Aided by his son, who feeds him as he rides, Nasim grinds out the days and shivering nights. Local officials believe this may be a plot and Nasim may be a spy; they try to sabotage him as do those who bet he won't finish the week. Will desperation alone get Nasim the money? Is any triumph an illusion?";Persian;Iran;https://m.media-amazon.com/images/M/MV5BMTczNDcyNTM3MV5BMl5BanBnXkFtZTcwOTEyOTIyMQ@@._V1_SX300.jpg;7.03.2010;;N/A;73;2,033;tt0092651;movie;N/A;N/A;N/A;N/A;DOÐRU;4;;;
The Whales of August;1987;Not Rated;19 Aug 1987;90 min;Drama;Lindsay Anderson;David Berry;Bette Davis, Lillian Gish, Vincent Price;It's August. Like they have most summers, elderly widowed sisters Libby Strong and Sarah Webber, who live in Philadelphia, are staying together in the family's summer cottage on an island off the coast of Maine. The cottage, which now belongs to Sarah, has been in their family most of their lives, was the family's summer getaway from Philadelphia when they were younger. There are a few people who have been friends or acquaintances on the island, including the outspoken Tisha Dought, and Joshua Brackett. Someone new at least to Sarah's social circle is Mr. Maranov, a former Russian aristocrat. His stay on the island is threatened when his landlady, Hilda Partridge, passes away. Sarah and Libby have come to the realization they are in the respective twilight of their lives, Sarah, who still keeps busy and wants to savor life's pleasures, acts as now sightless, cantankerous and bitter Libby's caregiver. Sarah knows she can no longer take care of Libby. As such, Sarah has to make alternate living arrangements instead of the Philadelphia house.Those arrangements will not involve Libby's estranged daughter Anna, who has the means to take care of her mother, although not the want. It is their interactions with Tisha and Mr. Maranov which may decide their sisterly fate for the immediate future.;English;United States;https://m.media-amazon.com/images/M/MV5BYjJjM2E1ZWEtYWZkZi00NWJmLWFkMDktZWM4MzkxYTIzMTBkL2ltYWdlXkEyXkFqcGdeQXVyMTk2MzI2Ng@@._V1_SX300.jpg;7.03.2010;0,64;N/A;73;4,677;tt0094315;movie;19 Dec 2017;$1,338,198;N/A;N/A;DOÐRU;2;;6;1
Madame Sousatzka;1988;PG-13;14 Oct 1988;122 min;Drama, Music;John Schlesinger;Bernice Rubens, Ruth Prawer Jhabvala, John Schlesinger;Shirley MacLaine, Navin Chowdhry, Peggy Ashcroft;Bengali Sushila Sen and her son, Manek, relocate from India to London after Sushila's relationship with her husband fails. Sushila struggles with everyday living. A child piano prodigy, Manek's schoolteacher refers him to a piano teacher, Irina Sousatzka, a Russian immigrant renowned for her teaching skills. Irina forms a strong bond with Manek, not only teaching him piano but also valuable life lessons. Disagreements arise, as Manek does not want anyone to run his life for him, but nevertheless the training progresses. Sushila, a baker and seller of Indian cuisine, loses an important client after her hair is found in one of her baked goods. To help his mother, Manek feels pressure to use his piano skills to earn some money. This is against Irina's wishes, however, as she is trying to protect Manek from her own negative experiences as a young concert pianist. She believes no student should perform until they are ready. But Manek, encouraged by a pushy music agent, decides to perform with the London Symphony Orchestra, ready or not.;English;United Kingdom, Canada;https://m.media-amazon.com/images/M/MV5BMTUwOWIwODktZDc0OS00NDZhLThkNjAtZjE4NjgyM2IzNTlkXkEyXkFqcGdeQXVyMjA0MzYwMDY@._V1_SX300.jpg;6.06.2010;0,78;N/A;66;1,464;tt0095564;movie;28 Aug 2014;$3,548,238;N/A;N/A;DOÐRU;2;;6;
Piravi;1989;N/A;21 Jul 1999;110 min;Drama;Shaji N. Karun;Shaji N. Karun, S. Jayachandran Nair, Reghunath Paleri;Premji, Archana, Lakshmi Krishnamurthy;Raghu, the only son of Raghava Chakyar was born late for him. So he poured his entire love and affection on him. Raghu, studying in an engineering college in a far away city has to arrive at his home to attend the engagement ceremony of his only sister. But he doesn't. The father starts his endless wait for his son. He daily waits at the bus stop till the last bus from the town also returns. Raghava Chakyar comes to know from newspapers that Raghu was taken into custody by the Police for political reasons. He reaches the capital and meets the higher Police officials. But they pretended helpless as there is no proof that Raghu was taken into custody. Raghu's sister comes to understand that he probably would have died in police custody after being tortured, but cannot bear to tell this to her father. The old man's grip on reality slowly slips and he starts dreaming that his son is with him.;Malayalam;India;https://m.media-amazon.com/images/M/MV5BNzU2NDVjZTctZmI5ZC00ZjA1LTg1ODAtN2NjMzZlNDZiMWZmXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_SX300.jpg;7.07.2010;;N/A;77;261;tt0095872;movie;22.May.17;N/A;N/A;N/A;DOÐRU;15;;1;
Dad;1989;PG;10 Nov 1989;117 min;Comedy, Drama;Gary David Goldberg;William Wharton, Gary David Goldberg;Jack Lemmon, Ted Danson, Olympia Dukakis;"John, a busy, ""always-on-the-run"" executive, learns during a meeting that his mother may be dying and rushes home to her side. He ends up being his father's caretaker and becomes closer to him than ever before. In the process, he teaches his father to be more independent which causes problems with the man's wife. Estranged from his own son, the executive comes to realize what has been missing in his own life. As John, his father and his son slowly bond, and even his mother returns from the hospital, everything starts seeming right with the world - until dad goes to have a minor surgery only to come out of it demented and a shadow of his former self.";English;United States;https://m.media-amazon.com/images/M/MV5BNjcwOTE5MGMtNGU1ZC00M2RmLThlZjQtYzdiMTQ3MzY2MjQ1XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg;6.03.2010;0,6;43;63;4,91;tt0097142;movie;31.May.05;$22,103,037;N/A;N/A;DOÐRU;2;43/100;5;1
Why Has Bodhi-Dharma Left for the East?;1989;Not Rated;23 Sep 1989;137 min;Drama;Yong-Kyun Bae;Yong-Kyun Bae;Yi Pan-Yong, Sin Won-Sop, Hae-Jin Huang;"Three people live in a remote Buddhist monastery near Mount Chonan: Hyegok, the old master; Yong Nan, a young man who has left his extended family in the city to seek enlightenment - Hyegok calls him Kibong!; and, an orphan lad Haejin, whom Hyegok has brought to the monastery to raise as a monk. The story is mostly Yong Nan's, told in flashbacks: how he came to the monastery, his brief return to the city, his vacillation between the turbulence of the world and his hope to overcome passions and escape the idea of self. We also see Hyegok as a teacher, a protector, and a father figure, and we watch Haejin make his way as a curious and nearly self-sufficient child.";Korean;South Korea;https://m.media-amazon.com/images/M/MV5BNDliNDAzNjgtODgyMC00MTMxLWI1YmItMzkzYjY1NjU3ZmJmXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg;7.05.2010;1;N/A;75;1,312;tt0097195;movie;15 Sep 2009;N/A;N/A;N/A;DOÐRU;2;;;
Driving Miss Daisy;1989;PG;26 Jan 1990;99 min;Drama;Bruce Beresford;Alfred Uhry;Morgan Freeman, Jessica Tandy, Dan Aykroyd;An elderly Jewish widow living in Atlanta can no longer drive. Her son insists she allow him to hire a driver, which in the 1950s meant a black man. She resists any change in her life but, Hoke, the driver is hired by her son. She refuses to allow him to drive her anywhere at first, but Hoke slowly wins her over with his native good graces. The movie is directly taken from a stage play and does show it. It covers over twenty years of the pair's life together as they slowly build a relationship that transcends their differences.;English, Hebrew;United States;https://m.media-amazon.com/images/M/MV5BMDE2ZTY3YmUtZTFhYy00ZmU2LWI2NjktY2NmZGZlYjg5OGMwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;7.04.2010;0,82;81;74;105,862;tt0097239;movie;1.Mar.05;$106,593,296;N/A;N/A;DOÐRU;21;81/100;24;4
Convicts;1991;PG;06 Dec 1991;93 min;Drama;Peter Masterson;Horton Foote;Robert Duvall, Lukas Haas, James Earl Jones;In 1902 Texas, thirteen-year-old Horace goes to work on old Soll's farm to earn enough money to buy a headstone for his father's grave. Unfortunately for Horace, Soll's senility, ill health, and obsession with the convict labor he uses to work the farm, make it unlikely that Horace will ever be paid the twelve dollars and fifty cents Soll owes him for six months work.;English;United States;https://m.media-amazon.com/images/M/MV5BMTgzMzI4OTE1OV5BMl5BanBnXkFtZTgwNTUxNTkwMzE@._V1_SX300.jpg;5.08.2010;;N/A;58;643;tt0099300;movie;12 Apr 2005;$13,623;N/A;N/A;DOÐRU;;;;
Everybody's Fine;1990;PG-13;31.May.91;118 min;Drama;Giuseppe Tornatore;Massimo De Rita, Tonino Guerra, Giuseppe Tornatore;Marcello Mastroianni, Michèle Morgan, Valeria Cavalli;Matteo Scuro is a retired Sicilian bureaucrat (responsible mainly for the writing of birth certificates) and a father of five children, all of whom live on the mainland and hold responsible jobs. He decides to surprise each with a visit to know how they live. The film is a veritable travelogue across contemporary Italy, as Matteo journeys to Naples, Rome, Florence, Milan, and Turin to search for each of his sons.;Italian;Italy, France;https://m.media-amazon.com/images/M/MV5BM2Q3YzcyMjEtYzQwMS00MTY4LWE0MzEtNGM4ZjUwOWIzZmYwXkEyXkFqcGdeQXVyMTE2OTg4Mjg@._V1_SX300.jpg;7.07.2010;0,78;N/A;77;3,879;tt0100681;movie;N/A;$1,745,470;N/A;N/A;DOÐRU;3;;3;
Tatie Danielle;1990;PG-13;17.May.91;110 min;Comedy, Drama;Étienne Chatiliez;Florence Quentin, Étienne Chatiliez;Tsilla Chelton, Catherine Jacob, Isabelle Nanty;Auntie Danielle, supposedly in ailing health but in reality just a nasty old bitch, lives with a paid housekeeper who she regularly abuses. When the housekeeper dies falling off a ladder, Danielle moves in with her great-nephew and his family. She continues using her nastiness to manipulate everyone into doing things her way until the family goes on vacation to Greece. The young housekeeper they hire to watch after her knows what Auntie is doing, and deals with her accordingly, and they begin forming respect for each other.;English, French;France;https://m.media-amazon.com/images/M/MV5BOWE0ZjIyMDUtZDFkYy00YWM4LWIyOWMtYmVhODRiMjI5OGNkXkEyXkFqcGdeQXVyNzA5NjUyNjM@._V1_SX300.jpg;7.01.2010;1;N/A;71;3,465;tt0100747;movie;23 Oct 2012;$604,624;N/A;N/A;DOÐRU;;;3;
Börn náttúrunnar;1991;N/A;01 Aug 1991;82 min;Drama, Romance;Fri?rik ?ór Fri?riksson;Fri?rik ?ór Fri?riksson, Einar Gu?mundsson;Gísli Halldórsson, Sigrí?ur Hagalín, Baldvin Halldórsson;Old Thorgeir must leave his home far off in the Icelandic 'countryside' and move into a home for senior citizens in Reykjavik. There he meets an old friend from his childhood, Stella. Thorgeir soon becomes unhappy living there and together with Stella he steals a jeep. Together they leave the city for Stella's old home in northwestern Iceland. A drama who asks us: how important is it to have a long life if you have to leave everything that has a meaning for you?;Icelandic, English;Iceland, Norway, Germany;https://m.media-amazon.com/images/M/MV5BMTY4OTA2NzMxN15BMl5BanBnXkFtZTcwNDgzNzcyMQ@@._V1_SX300.jpg;7.04.2010;;N/A;74;1,463;tt0101526;movie;N/A;N/A;N/A;N/A;DOÐRU;5;;2;1
Fried Green Tomatoes;1991;PG-13;24 Jan 1992;130 min;Drama;Jon Avnet;Fannie Flagg, Carol Sobieski;Kathy Bates, Jessica Tandy, Mary Stuart Masterson;Evelyn Couch is having trouble in her marriage, and no one seems to take her seriously. While in a nursing home visiting relatives, she meets Ninny Threadgoode, an outgoing old woman, who tells her the story of Idgie Threadgoode, a young woman in 1920's Alabama. Through Idgie's inspiring life, Evelyn learns to be more assertive and builds a lasting friendship of her own with Ninny.;English;United States;https://m.media-amazon.com/images/M/MV5BOWQ1ZWE0MTQtMmEwOS00YjA3LTgyZTAtNjY5ODEyZTJjNDI2XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg;7.07.2010;0,74;64;77;71,318;tt0101921;movie;18 Apr 2000;$82,418,501;N/A;N/A;DOÐRU;6;64/100;14;2
Rhapsody in August;1991;PG;20 Dec 1991;98 min;Drama;Akira Kurosawa;Kiyoko Murata, Akira Kurosawa, Ishirô Honda;Sachiko Murase, Richard Gere, Hisashi Igawa;An elderly woman living in Nagasaki Japan takes care of her four grandchildren for their summer vacation. They learn about the atomic bomb that fell in 1945, and how it killed their grandfather.;Japanese, English;Japan;https://m.media-amazon.com/images/M/MV5BMjE0ODQ0NTM4N15BMl5BanBnXkFtZTcwNDY0NzU2NA@@._V1_SX300.jpg;7.02.2010;0,6;N/A;72;6,684;tt0101991;movie;01 Jul 2003;$516,431;N/A;N/A;DOÐRU;5;;7;
Rôjin Z;1991;PG-13;01 Apr 1996;80 min;Animation, Comedy, Drama;Hiroyuki Kitakubo;Katsuhiro Ôtomo;Chisa Yokoyama, Toni Barry, Shinji Ogawa;An old man is being treated specially by the Department of Health under the so-called Project Z, a special nursing bed with a 6th generation computer on board. When the pain and loneliness of the old man reaches his ex-private nurse, she decides to rescue him from the government's experiment. Thus begins a wild chase through the busy streets of Tokyo as the 6th generation computer begins to have the personality of the old man's ex-wife and as the government's secret project unfolds.;Japanese;Japan;https://m.media-amazon.com/images/M/MV5BNGVmMWIxOGYtYTc2My00NTE2LTlkNTctMTcyYTk5ZjhhMDlmXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg;6.08.2010;;N/A;68;2,557;tt0102812;movie;N/A;N/A;N/A;N/A;DOÐRU;;;1;
Strangers in Good Company;1990;PG;N/A;101 min;Drama;Cynthia Scott;Gloria Demers, Cynthia Scott, David Wilson;Alice Diabo, Constance Garneau, Beth Webber;"A bus breaks down in the wilderness. Seven elderly women,average age 71 and one 27 year old are stranded at a deserted farmhouse. The have only their wits, their memories, and eventually some roasted frogs' legs, to sustain them. Through the long days and nights this remarkable group of strangers share their life stories and exchange intimate thoughts; turning the crisis into a magical time of humor and spirit. Featuring non-professional actors and spontaneous dialogue, this memorable film dissolves the barrier between fiction and reality, weaving a heartwarming tale of friendship and courage.";English;Canada;https://m.media-amazon.com/images/M/MV5BMTFlMzRiNWMtOGE5ZS00MGMyLWJmYWItNTVkOTc5ZDIyNjNhXkEyXkFqcGdeQXVyNjczMzgwMDg@._V1_SX300.jpg;7.07.2010;1;N/A;77;1,042;tt0102993;movie;07 Dec 1999;$1,002,689;N/A;N/A;DOÐRU;4;;5;
Age Isn't Everything;1991;R;26 Nov 1991;90 min;Comedy, Fantasy, Drama;Douglas Katz;Douglas Katz;Jonathan Silverman, Robert Prosky, Rita Moreno;Young man gives up his dream of becoming an astronaut to go into business--and finds himself turned into a little old man.;English;United States;https://m.media-amazon.com/images/M/MV5BNjMwODBiZTQtZjY2My00N2Y5LTg1MjYtY2YzOGUyYjA3MGM2XkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg;5.04.2010;;N/A;54;99;tt0103629;movie;28 Nov 1991;N/A;N/A;N/A;DOÐRU;;;;
Stop! Or My Mom Will Shoot;1992;PG-13;21 Feb 1992;87 min;Action, Comedy;Roger Spottiswoode;Blake Snyder, William Osborne, William Davies;Sylvester Stallone, Estelle Getty, JoBeth Williams;A tough police sergeant's mother comes to visit him, and promptly starts trying to fix up his life, much to his embarrassment. For his birthday she buys him a machine gun out of the back of a van, and begins to further interfere with his job and love life, eventually helping him with a case he's on.;English;United States;https://m.media-amazon.com/images/M/MV5BNzZiZmUzMDAtN2RmZS00ZDkzLWE3OGEtNzRhYTY0NTVkNGRkXkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_SX300.jpg;4.03.2010;0,11;N/A;43;41,33;tt0105477;movie;26 Dec 2006;$28,411,210;N/A;N/A;DOÐRU;3;;1;
Tango Argentino;1992;N/A;17 Feb 1992;91 min;Drama, Music;Goran Paskaljevic;Gordan Mihic;Mija Aleksic, Predrag 'Miki' Manojlovic, Nikola Zarkovic;A boy who is helping lonely, elderly people revives their urge to live and receives in return their love and understanding, which have been denied to him by his parents.;Serbian;Federal Republic of Yugoslavia;https://m.media-amazon.com/images/M/MV5BNDUzNTVkMzMtN2FlMC00OWI1LTliZmMtMzU3MmRhOGQ0MzhiXkEyXkFqcGdeQXVyMzIwMTIwODc@._V1_SX300.jpg;7.01.2010;;N/A;71;758;tt0105531;movie;N/A;N/A;N/A;N/A;DOÐRU;;;2;
Tui shou;1991;Not Rated;07 Dec 1991;105 min;Comedy, Drama;Ang Lee;Ang Lee, James Schamus;Sihung Lung, Lai Wang, Bozhao Wang;Master Chu, a retired Chinese Tai-Chi master, moves to Westchester, New York to live with his son Alex, his American daughter-in-law Martha, and their son Jeremy. However, Martha's second novel is suffering from severe writers' block brought on by Chu's presence in the house. Alex must struggle to keep his family together as he battles an inner conflict between cultural tradition and his modern American lifestlye.;Mandarin, English;Taiwan, United States;https://m.media-amazon.com/images/M/MV5BMmM1ODExNjctMTg4YS00NTg1LWI5OGEtZjExMjFlMWZmN2VhXkEyXkFqcGdeQXVyNjU1MDM2NjY@._V1_SX300.jpg;7.02.2010;;N/A;72;4,037;tt0105652;movie;N/A;$152,322;N/A;N/A;DOÐRU;6;;8;
Grumpy Old Men;1993;PG-13;25 Dec 1993;103 min;Comedy, Drama, Romance;Donald Petrie;Mark Steven Johnson;Jack Lemmon, Walter Matthau, Ann-Margret;John and Max are elderly men living next door to each other. They're continuously arguing and insulting each other, and have been this way for over 50 years. One day, Ariel, moves into the street. Both men are attracted to her, and their rivalry steps up a gear.;English;United States;https://m.media-amazon.com/images/M/MV5BMzNiYzQyNGEtYjFiOS00OTcyLTg5YzItMDQ2ZGRmZjE1N2Y4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;7.0/10;0,63;53;70;46,182;tt0107050;movie;22 Aug 2006;$70,172,621;N/A;N/A;DOÐRU;1;53/100;1;
Madadayo;1993;N/A;17 Apr 1993;134 min;Drama;Akira Kurosawa, Ishirô Honda;Ishirô Honda, Akira Kurosawa, Hyakken Uchida;Tatsuo Matsumura, Hisashi Igawa, George Tokoro;"This film tells the story of professor Uehida Hyakken-sama (1889-1971), in Gotemba, around the forties. He was a university professor until an air raid, when he left to become a writer and has to live in a hut. His mood has hardly changed, not by the change nor by time. Every year his students celebrate his birthday, issuing the question ""Mahda kai?"" (not yet?), just to hear Uehida-san's answer ""Madada yo!"" (No, not yet!), in a ritual of self affirmation, and desires of lasting forever. It's a very ""japanese"" film who portrays everyday life and customs in Japan.";Japanese, English;Japan;https://m.media-amazon.com/images/M/MV5BZmVhYWNkZjMtYzMyNC00NGNiLTg3ZGUtODQ4MjE4M2U3YjViXkEyXkFqcGdeQXVyMTIyNzY1NzM@._V1_SX300.jpg;7.03.2010;0,87;76;73;5,338;tt0107474;movie;N/A;N/A;N/A;N/A;DOÐRU;6;76/100;4;
The Neighbor;1992;N/A;23 Sep 1992;92 min;Drama;Götz Spielmann;Götz Spielmann;Rudolf Wessely, Dana Vávrová, Wolfgang Böck;An elderly obsessed with a woman and began to often follow her.;German;Austria;https://m.media-amazon.com/images/M/MV5BYWM1YTRlODktZDM3Mi00ZjQwLWE0ZjctYzQ1NzYyMGU1YmQzXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_SX300.jpg;6.09.2010;;N/A;69;109;tt0107647;movie;N/A;N/A;N/A;N/A;DOÐRU;;;1;
Wrestling Ernest Hemingway;1993;PG-13;17 Dec 1993;123 min;Drama, Romance;Randa Haines;Steve Conrad;Robert Duvall, Richard Harris, Shirley MacLaine;Frank, a retired Irish seaman, and Walter, a retired Cuban barber, are two lonely old men trapped in the emptiness of their own lives. When they meet in a park Frank is able to start a conversation after several attempts. They begin to spend time together and become friends. But because of their different characters they often quarrel with each other and finally seperate after Frank misbehaves to Walter's friend Elaine.;English;United States;https://m.media-amazon.com/images/M/MV5BYjljZmRjYTUtMGVkNi00OThiLThlYTMtZGFlOWMzODkyNzJhXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg;7.0/10;0,57;N/A;70;3,061;tt0108596;movie;27 Dec 2010;$278,720;N/A;N/A;DOÐRU;;;;
Camilla;1994;PG-13;25 Nov 1994;95 min;Drama;Deepa Mehta;Ali Jennings, Paul Quarrington;Jessica Tandy, Bridget Fonda, Hume Cronyn;Vincent and Freda Lopez are a young married Toronto couple who both indulge in the arts, Vince as an artist and Freda as a musician/composer. Their marriage is not as secure as it may seem on the surface as Vince sees Freda's music as purely a hobby, while she sees it as her vocation, despite feeling insecure about it. The two drive to Savannah, Georgia for a vacation, where they meet mother and son Camilla and Harold Cara, a former concert violinist and a B-movie producer respectively. There is an immediate bond between Camilla and Freda because of their music, and because of the unconditional support Camilla provides to Freda concerning her music that Vince will or cannot. Their bond is also despite the obvious exaggerated stories Camilla tells of her life. After Vince and Harold leave to work on a joint project and after Freda and Vince have an argument following about her musical career, Freda asks Camilla to drive back to Toronto with her to attend a concert of Brahms' violin concerto at the Winter Garden Theatre, which would mirror Camilla's own performance of the same piece at the same venue years earlier. Camila accepts. The women's journey is not only filled with adventure (especially after a mishap with Vince's car) but also one of coming to terms with their past and their future. Meanwhile, Vince and Harold come back to Savannah to find the two women gone. As Vince and Harold look for Freda and Camilla, each of the men eventually have to reconcile their own broken relationship with the woman in their respective life.;English;Canada, United Kingdom;https://m.media-amazon.com/images/M/MV5BNTQ3NWYzOGMtOTJlMS00ZDRmLWFhYmMtYjg4YWJiNjU1OWRjXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg;6.01.2010;0,4;N/A;61;989;tt0109368;movie;13 Aug 2002;N/A;N/A;N/A;DOÐRU;;;1;
Miracle on 34th Street;1994;PG;18 Nov 1994;114 min;Family, Fantasy;Les Mayfield;Valentine Davies, George Seaton, John Hughes;Richard Attenborough, Elizabeth Perkins, Dylan McDermott;"Six-year-old Susan Walker discovers dreams do come true if you really believe. She has doubts about childhood's most enduring miracle, Santa Claus. Her mother, Dorey, told her the ""secret"" about him a long time ago, so she doesn't expect to receive the most important gifts on her Christmas list. But after meeting a special department store Santa who's convinced he's the real thing, she is given the most precious gift of all, something to believe in.";English, American Sign , Dutch, Italian, Russian, Swahili;United States;https://m.media-amazon.com/images/M/MV5BZjk3M2UyN2YtNmQ1MS00MWI3LWEzNGMtYTRkM2E5MWNjOWJjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;6.06.2010;0,6;N/A;66;34,139;tt0110527;movie;31 Oct 2000;$17,320,136;N/A;N/A;DOÐRU;;;1;
Natsu no niwa: The Friends;1994;N/A;09 Apr 1994;113 min;Comedy, Drama;Shinji Sômai;Kazumi Yumoto, Yôzô Tanaka;Rentarô Mikuni, Naoki Sakata, Yasutaka Oh;A delightful and moving coming-of-age story. One summer, three young boys take an increasing interest in an eccentric old man who lives alone in a house surrounded by an overgrown garden. The boys form a bond with the recluse and set about weeding and replanting the garden.;Japanese;Japan;https://m.media-amazon.com/images/M/MV5BYWEwZGNmZmQtYTY2NC00NzhiLWIwNjAtNzcwOGQyMDNiOTRhXkEyXkFqcGdeQXVyMjc2Nzg5OTQ@._V1_SX300.jpg;7.0/10;;N/A;70;116;tt0110630;movie;N/A;N/A;N/A;N/A;DOÐRU;3;;;
Nobody's Fool;1994;R;13 Jan 1995;110 min;Comedy, Drama;Robert Benton;Richard Russo, Robert Benton;Paul Newman, Bruce Willis, Jessica Tandy;Sully is a rascally ne'er-do-well approaching retirement age. While he is pressing a worker's compensation suit for a bad knee, he secretly works for his nemesis Carl, and flirts with Carl's young wife Toby. Sully's long-forgotten son and his family have moved back to town, so Sully faces unfamiliar family responsibilities. Meanwhile, Sully's landlady's banker son plots to push through a new development and evict Sully from his mother's life.;English;United States;https://m.media-amazon.com/images/M/MV5BMjg0YzYzYzktNTY3NC00MDE0LThjMzYtMmY0MWZlNDdiYWY2XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg;7.04.2010;0,91;86;74;19,709;tt0110684;movie;04 Jun 2013;$39,491,975;N/A;N/A;DOÐRU;5;86/100;10;2
Three Colors: Red;1994;R;23 Nov 1994;99 min;Drama, Mystery, Romance;Krzysztof Kieslowski;Krzysztof Kieslowski, Krzysztof Piesiewicz, Agnieszka Holland;Irène Jacob, Jean-Louis Trintignant, Frédérique Feder;Valentine is a young model living in Geneva. Because of a dog she ran over, she meets a retired judge who spies his neighbours' phone calls, not for money but to feed his cynicism. The film is the story of relationships between some human beings, Valentine and the judge, but also other people who may not be aware of the relationship they have with Valentine or/and the old judge. Redemption, forgiveness and compassion...;French;Switzerland, France, Poland;https://m.media-amazon.com/images/M/MV5BYTg1MmNiMjItMmY4Yy00ZDQ3LThjMzYtZGQ0ZTQzNTdkMGQ1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;8.01.2010;1;100;81;99,146;tt0111495;movie;4.Mar.03;$3,581,969;N/A;N/A;DOÐRU;19;100/100;29;3
Eggs;1995;N/A;26.May.95;86 min;Comedy, Drama;Bent Hamer;Bent Hamer;Sverre Hansen, Kjell Stormoen, Leif Andrée;Two brothers in their seventies, Pa and Moe, have lived together all their lives in a little house in the country, the only interruption being when Pa made a weekend trip to Småland on his moped during the second World War. The past returns when his adult son dating from his Swedish visit, Konrad, comes to live with them after his mother has fallen ill. Soon Moe is about to discover that three is indeed a crowd...;Norwegian;Norway;https://m.media-amazon.com/images/M/MV5BMTgxODk1MDQ5MF5BMl5BanBnXkFtZTcwMzY1MjA0MQ@@._V1_SX300.jpg;6.08.2010;;N/A;68;907;tt0112934;movie;N/A;N/A;N/A;N/A;DOÐRU;5;;2;
